method,n_qubits,run,budget,shots_used,iterations,energy,ground_energy,relative_gap
gCANS,4,8,10000,9600,20,-0.2803787762959549,-0.9173632924615879,0.6943645133831261
gCANS,4,8,20000,19680,41,-0.5712713285074111,-0.9173632924615879,0.37726816278586645
gCANS,4,8,50000,49860,102,-0.8443350448713428,-0.9173632924615879,0.07960668166074776
gCANS,4,8,100000,100000,166,-0.9016063369985229,-0.9173632924615879,0.017176352697505358
gCANS,4,9,5000,4800,10,-0.2674306012918515,-0.9173632924615879,0.7084790687730189
gCANS,4,9,10000,9600,20,-0.5481979257974288,-0.9173632924615879,0.4024200332602876
gCANS,4,9,20000,19680,41,-0.7844393621068897,-0.9173632924615879,0.14489780814972386
gCANS,4,9,50000,49684,97,-0.8922463057653998,-0.9173632924615879,0.0273795418920578
gCANS,4,9,100000,100000,140,-0.9062038995816142,-0.9173632924615879,0.012164638558873845
gCANS,5,0,5000,4800,8,-0.014838294882595492,-0.509782396398741,0.9708928849104682
gCANS,5,0,10000,9600,16,-0.05823860313339209,-0.509782396398741,0.8857579164270728
gCANS,5,0,20000,19800,33,-0.135811323721812,-0.509782396398741,0.7335896165084851
gCANS,5,0,50000,49800,83,-0.3340307484876222,-0.509782396398741,0.34475817359069727
gCANS,5,0,100000,99798,166,-0.4473604344276373,-0.509782396398741,0.12244824931592692
gCANS,5,1,5000,4800,8,0.04141830726965028,-0.509782396398741,1.0812470331699209
gCANS,5,1,10000,9600,16,0.01748084911725173,-0.509782396398741,1.0342908057256228
gCANS,5,1,20000,19800,33,-0.06280102586884316,-0.509782396398741,0.8768081708735161
gCANS,5,1,50000,49800,83,-0.31333106418212964,-0.509782396398741,0.3853631149376749
gCANS,5,1,100000,99456,165,-0.4282058662912901,-0.509782396398741,0.16002225789617788
gCANS,5,2,5000,4800,8,-0.06896808928121861,-0.509782396398741,0.8647107280117353
gCANS,5,2,10000,9600,16,-0.20087510181510906,-0.509782396398741,0.6059591244535859
gCANS,5,2,20000,19800,33,-0.33497861971808945,-0.509782396398741,0.3428988092086329
gCANS,5,2,50000,49800,83,-0.41614633457465955,-0.509782396398741,0.18367849201062117
gCANS,5,2,100000,100000,143,-0.4470244691366955,-0.509782396398741,0.12310728598199291
gCANS,5,3,5000,4800,8,0.06493591968091852,-0.509782396398741,1.1273796822715842
gCANS,5,3,10000,9600,16,0.013046293668221298,-0.509782396398741,1.025591887362891
